#,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,AVG,TTL
131,Jarvis Landry,WR,FA,6.1,4.6,3.6,10.3,8.8,4,6,5.2,-,2.9,2.6,20.3,12.4,5.7,12.1,-,11.4,7.7,116,132
132,Wayne Gallman Jr.,RB,FA,1.4,-,1.4,4.5,2.4,0,11.4,12.2,13.7,18,-,15.1,13.5,7.3,2.9,5.3,6.5,7.7,115.6,133
133,Chase Edmonds,RB,TB,10.5,1.3,3.4,10,15.2,2.9,14.5,-,8.8,7.7,10.9,4.3,4.3,5.3,12.6,0.8,2.5,7.2,115,134
134,Darrell Henderson Jr.,RB,FA,0.6,18.1,18,3.7,18.8,9.2,7.6,5.8,-,9.3,0.9,1.9,13.4,0.5,0.3,6.2,-,7.6,114.3,134
134,Michael Gallup,WR,DAL,5,5.8,19.8,2.9,7.3,2.3,0,6.1,3.6,BYE,2.9,4.1,14.6,2.3,8.6,24.1,4.9,7.1,114.3,136
136,Tyler Boyd,WR,CIN,3.3,13.2,12.5,9.4,4.2,7.9,16.7,13.6,BYE,4.1,8.5,1.5,13.2,4.3,0,-,1.2,7.6,113.6,137
137,Latavius Murray,RB,BUF,4.8,3.3,6.5,20.3,5.7,-,5.6,3.1,4.2,5.7,8.5,24.6,1.7,0.7,8.9,9.6,-,7.5,113.2,138
138,Jamison Crowder,WR,NYG,17.5,-,-,10.4,17.6,4.8,-,-,8.6,-,1.6,3.1,16.7,0.7,6.6,22.3,3.1,9.4,113,139
139,Adrian Peterson,RB,FA,11.4,4.1,8.5,9.6,-,11.8,3,1.2,4.3,3,1.8,17.5,17.7,3,2.3,1,12.3,7,112.5,140
140,Nick Foles,QB,FA,-,-,18.2,12.9,12.6,17.3,8.4,17.9,21.6,3.4,-,-,-,-,-,-0.2,-,12.5,112.2,141
141,Jalen Hurts,QB,PHI,-,0,0.5,1.8,0.7,2.6,0.2,0.4,BYE,-0.1,0.6,0.2,10.3,19.3,37.8,20.6,17.3,7.5,112.1,141
141,Mark Andrews,TE,BAL,17.8,2.9,2.2,17.7,11.6,2.1,BYE,3.2,2.2,6.1,15.6,-,-,7.8,12.6,7.6,2.7,8,112.1,143
143,J.D. McKissic,RB,FA,-0.1,5.3,5.2,2.6,4.9,8.4,5.1,-,8.2,10.9,6.9,2.7,7.8,8.6,16.7,15.2,3,7,111.4,144
144,Austin Ekeler,RB,LAC,8.7,14.8,20.3,1.4,-,BYE,-,-,-,-,-,12.9,6.8,14.6,7.9,12.8,11.1,11.1,111.3,145
145,Giovani Bernard,RB,FA,2.8,2.5,5.5,1.9,0.4,8.8,15.6,19.8,-,4.7,5.5,4.9,2.9,0.3,21.7,13.1,0.7,6.9,111.1,146
146,Tim Patrick,WR,DEN,2.9,2.4,10.3,17.3,BYE,10.1,4.4,-,8.9,6.1,11.9,0,16.4,9.6,1.4,3.9,4.6,7.3,110.2,147
147,Cody Parkey,K,FA,-,5,11,12,13,1,8,7,-,5,9,10,12,4,2,5,6,7.3,110,147
147,Arizona Cardinals,DST,ARI,6,9,4,1,7,15,7,BYE,2,3,2,8,2,18,10,6,10,6.9,110,149
149,Russell Gage,WR,TB,11.4,10.6,2.6,2,1.6,6.5,5.4,2.5,1.1,-,5.8,3.4,11.1,13.8,12.8,2.3,16.2,6.8,109.1,150
150,T.J. Hockenson,TE,MIN,11.6,6.2,5.3,8.9,-,7.7,11.9,6.5,9.9,1.3,6.8,8.9,8.4,10.3,-0.2,2.3,2.5,6.8,108.3,151
151,T.Y. Hilton,WR,FA,5.3,2.8,5.2,2.9,6.9,1.1,-,0.9,-,4,3.6,14.1,17,20.6,7.1,6,10.7,7.2,108.2,152
152,Kansas City Chiefs,DST,KC,7,5,7,20,-1,3,24,9,1,BYE,1,5,5,14,2,7,-1,6.8,108,152
152,New England Patriots,DST,NE,11,6,15,4,BYE,7,6,3,3,5,0,5,31,4,4,-4,8,6.8,108,154
154,Mike Gesicki,TE,NE,3,19,7.5,1.5,9.1,0,-,0.8,4.2,4,4.3,9.5,14.8,18.5,-,5.4,4.7,7.1,106.3,155
155,Robbie Gould,K,FA,10,8,14,2,5,7,10,3,5,8,-,14,7,1,10,2,-,7.1,106,156
156,Mike Williams,WR,LAC,6.9,1.4,1.7,-,22.9,BYE,0.4,16,8.1,3.8,13.2,2.6,4.3,0,2.2,5.4,16.8,7,105.7,157
157,Devin Singletary,RB,HOU,5.3,7.6,12.1,13.7,3.3,4.5,4.7,9.2,3.4,1,-,8.2,8.3,3.4,14.4,5.2,1.3,6.6,105.6,157
157,Jerry Jeudy,WR,DEN,5.6,6.2,5.5,12.1,BYE,3.2,2,7.3,18.5,6.8,3.7,0,0.5,4.2,1.9,6.1,22,6.6,105.6,159
